level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2203	1700	-1	
2	1	1	0	0	0	1526	126	14	1473	-1	
3	1	1	1	0	0	1526	126	14	1473	-1	
4	1	1	1	1	0	1526	126	14	1473	-1	
5	1	1	1	1	1	1526	126	14	1473	95.000000	 
2	1	2	0	0	0	1486	125	14	1474	-1	
3	1	2	1	0	0	1486	125	14	1474	-1	
4	1	2	1	1	0	1486	125	14	1474	-1	
5	1	2	1	1	1	1486	125	14	1474	95.000000	 
2	1	3	0	0	0	1445	126	13	1473	-1	
3	1	3	1	0	0	1445	126	13	1473	-1	
4	1	3	1	1	0	1445	126	13	1473	-1	
5	1	3	1	1	1	1445	126	13	1473	95.000000	 
2	1	4	0	0	0	1403	126	14	1473	-1	
3	1	4	1	0	0	1403	126	14	1473	-1	
4	1	4	1	1	0	1403	126	14	1473	-1	
5	1	4	1	1	1	1403	126	14	1473	95.000000	 
2	1	5	0	0	0	1361	126	14	1473	-1	
3	1	5	1	0	0	1361	126	14	1473	-1	
4	1	5	1	1	0	1361	126	14	1473	-1	
5	1	5	1	1	1	1361	126	14	1473	95.000000	 
2	1	6	0	0	0	1320	126	13	1473	-1	
3	1	6	1	0	0	1320	126	13	1473	-1	
4	1	6	1	1	0	1320	126	13	1473	-1	
5	1	6	1	1	1	1320	126	13	1473	95.000000	 
2	1	7	0	0	0	1278	126	14	1472	-1	
3	1	7	1	0	0	1278	126	14	1472	-1	
4	1	7	1	1	0	1278	126	14	1472	-1	
5	1	7	1	1	1	1278	126	14	1472	95.000000	 
2	1	8	0	0	0	1237	125	14	1473	-1	
3	1	8	1	0	0	1237	125	14	1473	-1	
4	1	8	1	1	0	1237	125	14	1473	-1	
5	1	8	1	1	1	1237	125	14	1473	95.000000	 
2	1	9	0	0	0	1195	125	16	1473	-1	
3	1	9	1	0	0	1195	125	16	1473	-1	
4	1	9	1	1	0	1195	125	16	1473	-1	
5	1	9	1	1	1	1195	125	16	1473	95.000000	 
2	1	10	0	0	0	1155	125	13	1473	-1	
3	1	10	1	0	0	1155	125	13	1473	-1	
4	1	10	1	1	0	1155	125	13	1473	-1	
5	1	10	1	1	1	1155	125	13	1473	95.000000	 
2	1	11	0	0	0	1114	125	13	1474	-1	
3	1	11	1	0	0	1114	125	13	1474	-1	
4	1	11	1	1	0	1114	125	13	1474	-1	
5	1	11	1	1	1	1114	125	13	1474	95.000000	 
2	1	12	0	0	0	1071	125	16	1473	-1	
3	1	12	1	0	0	1071	125	16	1473	-1	
4	1	12	1	1	0	1071	125	16	1473	-1	
5	1	12	1	1	1	1071	125	16	1473	95.000000	 
2	1	13	0	0	0	1030	124	15	1474	-1	
3	1	13	1	0	0	1030	124	15	1474	-1	
4	1	13	1	1	0	1030	124	15	1474	-1	
5	1	13	1	1	1	1030	124	15	1474	95.000000	 
2	1	14	0	0	0	990	124	14	1474	-1	
3	1	14	1	0	0	990	124	14	1474	-1	
4	1	14	1	1	0	990	124	14	1474	-1	
5	1	14	1	1	1	990	124	14	1474	95.000000	 
2	1	15	0	0	0	947	124	15	1473	-1	
3	1	15	1	0	0	947	124	15	1473	-1	
4	1	15	1	1	0	947	124	15	1473	-1	
5	1	15	1	1	1	947	124	15	1473	95.000000	 
2	1	16	0	0	0	890	826	644	9	-1	
3	1	16	1	0	0	890	826	644	9	-1	
4	1	16	1	1	0	890	826	644	9	-1	
5	1	16	1	1	1	890	826	644	9	95.000000	 
2	1	17	0	0	0	890	749	645	9	-1	
3	1	17	1	0	0	890	749	645	9	-1	
4	1	17	1	1	0	890	749	645	9	-1	
5	1	17	1	1	1	890	749	645	9	95.000000	 
2	1	18	0	0	0	889	945	645	10	-1	
3	1	18	1	0	0	889	945	645	10	-1	
4	1	18	1	1	0	889	945	645	10	-1	
5	1	18	1	1	1	889	945	645	10	95.000000	 
2	1	19	0	0	0	889	984	645	8	-1	
3	1	19	1	0	0	889	984	645	8	-1	
4	1	19	1	1	0	889	984	645	8	-1	
5	1	19	1	1	1	889	984	645	8	95.000000	 
2	1	20	0	0	0	885	124	14	1473	-1	
3	1	20	1	0	0	885	124	14	1473	-1	
4	1	20	1	1	0	885	124	14	1473	-1	
5	1	20	1	1	1	885	124	14	1473	95.000000	 
2	1	21	0	0	0	826	1247	708	10	-1	
3	1	21	1	0	0	826	1247	708	10	-1	
4	1	21	1	1	0	826	1247	708	10	-1	
5	1	21	1	1	1	826	1247	708	10	95.000000	 
2	1	22	0	0	0	825	1559	708	10	-1	
3	1	22	1	0	0	825	1559	708	10	-1	
4	1	22	1	1	0	825	1559	708	10	-1	
5	1	22	1	1	1	825	1559	708	10	95.000000	 
2	1	23	0	0	0	828	653	708	9	-1	
3	1	23	1	0	0	828	653	708	9	-1	
4	1	23	1	1	0	828	653	708	9	-1	
5	1	23	1	1	1	828	653	708	9	95.000000	 
2	1	24	0	0	0	828	902	706	11	-1	
3	1	24	1	0	0	828	902	706	11	-1	
4	1	24	1	1	0	828	902	706	11	-1	
5	1	24	1	1	1	828	902	706	11	95.000000	 
2	1	25	0	0	0	827	1022	707	10	-1	
3	1	25	1	0	0	827	1022	707	10	-1	
4	1	25	1	1	0	827	1022	707	10	-1	
5	1	25	1	1	1	827	1022	707	10	95.000000	 
2	1	26	0	0	0	830	123	706	10	-1	
3	1	26	1	0	0	830	123	706	10	-1	
4	1	26	1	1	0	830	123	706	10	-1	
5	1	26	1	1	1	830	123	706	10	95.000000	 
2	1	27	0	0	0	824	1595	709	10	-1	
3	1	27	1	0	0	824	1595	709	10	-1	
4	1	27	1	1	0	824	1595	709	10	-1	
5	1	27	1	1	1	824	1595	709	10	95.000000	 
2	1	28	0	0	0	823	124	14	1473	-1	
3	1	28	1	0	0	823	124	14	1473	-1	
4	1	28	1	1	0	823	124	14	1473	-1	
5	1	28	1	1	1	823	124	14	1473	95.000000	 
2	1	29	0	0	0	767	882	6	439	-1	
3	1	29	1	0	0	767	882	6	439	-1	
4	1	29	1	1	0	767	882	6	439	-1	
5	1	29	1	1	1	767	882	6	439	95.000000	 
2	1	30	0	0	0	769	144	6	511	-1	
3	1	30	1	0	0	769	144	6	511	-1	
4	1	30	1	1	0	769	144	6	511	-1	
5	1	30	1	1	1	769	144	6	511	95.000000	 
2	1	31	0	0	0	655	103	885	11	-1	
3	1	31	1	0	0	655	103	885	11	-1	
